Author,Art,Sale date,Price,Size,Style,Estimate,Signed,dated,Collection,Material,Technique,Painted,Image,Genre,Square,Nazi,Length description
Francis Bacon,Three Studies of Lucian Freud,11.12.2013,142404992,198 x 147.5 cm,Post-War and Contemporary Evening Sale,-,0,0,0,canvas,oil only,1969,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02791_0008A_000(francis_bacon_three_studies_of_lucian_freud).jpg,-,2.9205,0,382
Edvard Munch,The Scream,05.02.2012,119922496,132 x 96.5cm,Expressionism,700000.0,0,0,0,canvas,other techniques,-,https://uploads2.wikiart.org/images/edvard-munch/the-scream-1893(2).jpg!Large.jpg,genre painting,1.2672,0,929
Pablo Picasso,"Nude, Green Leaves and Bust",05.04.2010,106482496,162 x 130 cm,Property from the Collection of Mrs. Sidney F. Brody,-,1,0,1,canvas,oil only,1932,https://www.christies.com/img/LotImages/2010/NYR/2010_NYR_02410_0006_000(pablo_picasso_nude_green_leaves_and_bust).jpg,nude painting (nu),2.106,0,145
Andy Warhol,Silver car crash,11.13.2013,105445000,267.4 x 417.1 cm,-,-,0,0,0,canvas,other techniques,-,-,-,11.1533,0,2352
Pablo Picasso,Garçon à la pipe,05.05.2004,104168000,99.7 x 81.3 cm,-,70000000.0,0,0,0,canvas,oil only,-,-,-,0.8106,0,2820
Alberto Giacometti,L′homme qui marche I,02.03.2010,103689992,183cm,-,12000000.0,0,0,0,bronze,other techniques,-,-,-,0,0,2982
Alberto Giacometti,Chariot,11.04.2014,100965000,144.7 cm,-,-,0,0,0,"bronze, wood",other techniques,-,-,-,0,0,1894
Pablo Picasso,Dora Maar au chat,05.03.2006,95216000,129.5 x 97 cm,-,50000000.0,0,0,0,canvas,oil only,-,-,-,1.2562,0,1390
Francis Bacon,"Triptych, 1976",05.14.2008,86281000,198 x 147.5 cm,-,-,0,0,0,canvas,oil and others,-,-,-,2.9205,0,2629
Andy Warhol,Triple Elvis,11.12.2014,81925000,208.3 x 175.3 cm,Post-War & Contemporary Art Evening Sale,-,1,0,0,linen,other techniques,1963,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02891_0009_000(andy_warhol_triple_elvis_ferus_type).jpg,portrait,3.6515,0,165
Francis Bacon,Three Studies for a Portrait of John Edwards,05.13.2014,80805000,198.3 x 148 cm,Post-War and Contemporary Evening Sale,-,1,0,1,canvas,oil only,1984,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02847_0020_000(francis_bacon_three_studies_for_a_portrait_of_john_edwards).jpg,,2.9348,0,215
Mark Rothko,No. 1,11.13.2012,75122496,137.2 x 69.8 cm,Abstract Expressionism,1500000.0,0,0,0,other,other techniques,-,https://uploads5.wikiart.org/images/mark-rothko/no-1.jpg!Large.jpg,abstract,0.9577,0,363
Mark Rothko,White center,05.15.2007,72840000,205.8 x 141 cm,-,-,0,0,0,canvas,oil only,-,-,-,2.9018,0,2051
Andy Warhol,Green Car Crash,05.16.2007,71720000,228.6 x 203.2 cm,Post-War and Contemporary Art Evening Sale,25000000.0,0,0,1,linen,other techniques,1963,https://www.christies.com/img/LotImages/2007/NYR/2007_NYR_01834_0015_000().jpg,-,4.6452,0,233
Francis Bacon,Portrait of George Dyer TalkingREPEAT SALE,02.13.2014,69625144,198.2 x 147.3cm,Post-War and Contemporary Art Evening Auction,-,0,0,1,canvas,oil only,1966,https://www.christies.com/img/LotImages/2014/CKS/2014_CKS_01510_0010_000(francis_bacon_portrait_of_george_dyer_talking).jpg,portrait,2.9135,0,425
Andy Warhol,Four Marlons,11.12.2014,69605000,205.7 x 165.1 cm,Post-War & Contemporary Art Evening Sale,-,1,0,1,linen,other techniques,1966,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02891_0010_000(andy_warhol_four_marlons).jpg,-,3.3961,0,138
Cy Twombly,Untitled,11.12.2014,69605000,67.5 x 86.4 cm,Abstract Expressionism,400000.0,0,0,0,other,other techniques,-,https://uploads8.wikiart.org/images/cy-twombly/untitled.jpg!Large.jpg,abstract,0.5832,0,1425
