Author,Art,Sale date,Price,Url,Report
Gustav Klimt,Portrait of Adele Bloch-Bauer II,11.08.2006,"87,936,000",- and https://www.sothebys.com/en/search-results.html?query=Gustav Klimt Portrait of Adele Bloch-Bauer II&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Mark Rothko,"Orange, Red, Yellow",05.08.2012,"86,882,496",https://www.christies.com/lotfinder/paintings/mark-rothko-orange-red-yellow-5559196-details.aspx?from=searchresults&intObjectID=5559196 and ,Found in both Sothby's and Christie's
Barnett Newman,Black Fire I,05.13.2014,"84,165,000",- and https://www.sothebys.com/en/search-results.html?query=Barnett Newman Black Fire I&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Vincent van Gogh,Portrait du Dr. Gachet,05.15.1990,"82,500,000",- and https://www.sothebys.com/en/search-results.html?query=Vincent van Gogh Portrait du Dr. Gachet&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Claude Monet,Le bassin aux nymphéas,06.24.2008,"80,549,392",https://www.christies.com/lotfinder/paintings/claude-monet-le-bassin-aux-nympheas-5100003-details.aspx?from=searchresults&intObjectID=5100003 and ,Found in both Sothby's and Christie's
Pierre-Auguste Renoir,Au moulin de la Galette,05.17.1990,"78,100,000",- and https://www.sothebys.com/en/search-results.html?query=Pierre-Auguste Renoir Au moulin de la Galette&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Sir Peter Paul Rubens,The Massacre of the Innocents,07.10.2002,"76,671,280",- and https://www.sothebys.com/en/search-results.html?query=Sir Peter Paul Rubens The Massacre of the Innocents&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Vincent van Gogh,Portrait de l′artiste sans barbe,11.19.1998,"71,502,496",- and https://www.sothebys.com/en/search-results.html?query=Vincent van Gogh Portrait de l′artiste sans barbe&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Amedeo Modigliani,Tête,11.04.2014,"70,725,000",- and https://www.sothebys.com/en/search-results.html?query=Amedeo Modigliani Tête&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Qi Baishi,Eagle standing on pine tree,05.22.2011,"65,532,112",- and https://www.sothebys.com/en/search-results.html?query=Qi Baishi Eagle standing on pine tree&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Andy Warhol,Men in Her Life,11.08.2010,"63,362,500",- and https://www.sothebys.com/en/search-results.html?query=Andy Warhol Men in Her Life&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Andy Warhol,Race Riot,05.13.2014,"62,885,000",- and https://www.sothebys.com/en/search-results.html?query=Andy Warhol Race Riot&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Wang Meng,Landscape,06.04.2011,"62,118,992",- and https://www.sothebys.com/en/search-results.html?query=Wang Meng Landscape&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Vincent van Gogh,"Nature morte, vase aux marguerites et coquelicots",11.04.2014,"61,765,000","- and https://www.sothebys.com/en/search-results.html?query=Vincent van Gogh Nature morte, vase aux marguerites et coquelicots&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past",Not Found in both Sothby's and Christie's
Paul Cézanne,"Rideau, cruchon et compotier",05.10.1999,"60,502,500","- and https://www.sothebys.com/en/search-results.html?query=Paul Cézanne Rideau, cruchon et compotier&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past",Not Found in both Sothby's and Christie's
Kasimir Severinovich Malevich,Suprematist Composition,11.03.2008,"60,002,500",- and https://www.sothebys.com/en/search-results.html?query=Kasimir Severinovich Malevich Suprematist Composition&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Jackson Pollock,Number 19REPEAT SALE,05.15.2013,"58,363,752",https://www.christies.com/lotfinder/paintings/jackson-pollock-number-19-1948-5684054-details.aspx?from=searchresults&intObjectID=5684054 and ,Found in both Sothby's and Christie's
Roy Lichtenstein,Woman with Flowered Hat,05.15.2013,"56,123,752",https://www.christies.com/lotfinder/paintings/roy-lichtenstein-woman-with-flowered-hat-5684070-details.aspx?from=searchresults&intObjectID=5684070 and ,Found in both Sothby's and Christie's
Pablo Picasso,Femme aux bras croisés,11.08.2000,"55,006,000",- and https://www.sothebys.com/en/search-results.html?query=Pablo Picasso Femme aux bras croisés&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Claude Monet,NymphéasREPEAT SALE,06.23.2014,"53,982,180",- and https://www.sothebys.com/en/search-results.html?query=Claude Monet Nymphéas&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Vincent van Gogh,Irises,11.11.1987,"53,900,000",- and https://www.sothebys.com/en/search-results.html?query=Vincent van Gogh Irises&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Amedeo Modigliani,Tête,06.14.2010,"52,327,264",https://www.christies.com/lotfinder/sculptures-statues-figures/amedeo-modigliani-tete-5329649-details.aspx?from=searchresults&intObjectID=5329649 and ,Found in both Sothby's and Christie's
Francis Bacon,Triptych 1974-77,02.06.2008,"51,893,420",- and https://www.sothebys.com/en/search-results.html?query=Francis Bacon Triptych 1974-77&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Pablo Picasso,Les Noces de Pierrette,11.30.1989,"51,650,000",- and https://www.sothebys.com/en/search-results.html?query=Pablo Picasso Les Noces de Pierrette&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Pablo Picasso,Femme assise dans un jardin,11.10.1999,"49,502,500",- and https://www.sothebys.com/en/search-results.html?query=Pablo Picasso Femme assise dans un jardin&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Pablo Picasso,Self Portrait: Yo Picasso,05.09.1989,"47,850,000",- and https://www.sothebys.com/en/search-results.html?query=Pablo Picasso Self Portrait: Yo Picasso&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
,Rome,12.03.2014,"47,594,196",- and https://www.sothebys.com/en/search-results.html?query= Rome&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
