Author,Art,Sale date,Price,Genre,Style,Image,Dimensions,Media,Location,Found,Url
Edvard Munch,The Scream,05.02.2012,"119,922,496",genre painting,Expressionism,https://uploads2.wikiart.org/images/edvard-munch/the-scream-1893(2).jpg!Large.jpg,91 x 73.5 cm,"oil, pastel, cardboard, tempera","National Gallery, Oslo, Norway",1,https://www.wikiart.org/en/Search/Edvard Munch The Scream
Pablo Picasso,"Nude, Green Leaves and Bust",05.04.2010,"106,482,496",nude painting (nu),,https://uploads3.wikiart.org/00234/images/pablo-picasso/2010-nyr-02410-0006-000-pablo-picasso-nude-green-leaves-and-bust.jpg!Large.jpg,162 x 130 cm,oil,"Tate Modern, London, UK",1,"https://www.wikiart.org/en/Search/Pablo Picasso Nude, Green Leaves and Bust"
Andy Warhol,Silver car crash,11.13.2013,"105,445,000",,,,,,,0,https://www.wikiart.org/en/Search/Andy Warhol Silver car crash
Pablo Picasso,Garçon à la pipe,05.05.2004,"104,168,000",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso Garçon à la pipe
Alberto Giacometti,L′homme qui marche I,02.03.2010,"103,689,992",,,,,,,0,https://www.wikiart.org/en/Search/Alberto Giacometti L′homme qui marche I
Alberto Giacometti,Chariot,11.04.2014,"100,965,000",,,,,,,0,https://www.wikiart.org/en/Search/Alberto Giacometti Chariot
Pablo Picasso,Dora Maar au chat,05.03.2006,"95,216,000",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso Dora Maar au chat
Gustav Klimt,Portrait of Adele Bloch-Bauer II,11.08.2006,"87,936,000",portrait,Art Nouveau (Modern),https://uploads3.wikiart.org/images/gustav-klimt/portrait-of-adele-bloch-bauer-ii-1912.jpg!Large.jpg,190 x 120 cm,"oil, canvas",Private Collection,1,https://www.wikiart.org/en/Search/Gustav Klimt Portrait of Adele Bloch-Bauer II
Mark Rothko,"Orange, Red, Yellow",05.08.2012,"86,882,496",,,,,,,0,"https://www.wikiart.org/en/Search/Mark Rothko Orange, Red, Yellow"
Francis Bacon,"Triptych, 1976",05.14.2008,"86,281,000",,,,,,,0,"https://www.wikiart.org/en/Search/Francis Bacon Triptych, 1976"
