Author,Art,Sale date,Price,Provenance,Sign,Technique and performance material,Size,Image,Estimate,Report,Description,Tried url
Edvard Munch,The Scream,05.02.2012,"119,922,496","Acquired directly from the artist by the previous owner
At first glance, Edvard Munch would seem an unlikely inspiration for Andy Warhol. Born into poverty, Munch lost his mother to tuberculosis at the age of 5.  Subsequent up-rearing by a religiously fanatical and periodically violent father left him emotionally vulnerable. Later, despite commercial success, the artist battled severe depression by drowning himself in alcohol and nicotine and eventually entering a sanatorium in Copenhagen to treat his ‘nerve crisis.’ Ultimately, Munch died isolated and alone, bequeathing his entire estate to the municipality of Oslo.  
  However, despite their obvious biographical differences, Munch’s oeuvre was shaped by many of the same philosophical preoccupations which would later underpin Warhol.  Munch, like Warhol, was obsessed with visualizations of sex, sexuality and death, frequently drawing on these motivations
READ MORE
","signed and dated 84 on the overlap; stamped by the Andy Warhol Art Authentication Board, Inc., and numbered A109.0510 on the overlap
",synthetic polymer paint and silkscreen ink on canvas,132 by 96.5cm,https://sothebys-com.brightspotcdn.com/dims4/default/0e27a73/2147483647/strip/true/crop/2000x2000+0+0/resize/212x212!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot-migration.s3.amazonaws.com%2F7d%2F8e%2F10%2F6d5f5a46857460406bad0c23390fb397c160b1153ac2bc16045dafe279%2F159278724-l06024-15-1.jpg,"700,000",Found,"signed and dated 84 on the overlap; stamped by the Andy Warhol Art Authentication Board, Inc., and numbered A109.0510 on the overlap
synthetic polymer paint and silkscreen ink on canvas
132 by 96.5cm.; 52 by 38in.",
Pablo Picasso,"Nude, Green Leaves and Bust",05.04.2010,"106,482,496",,,,,,,Not Found,,"https://www.sothebys.com/en/search-results.html?query=Pablo Picasso Nude, Green Leaves and Bust&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past"
Andy Warhol,Silver car crash,11.13.2013,"105,445,000","Bruno Bischofberger, Zurich
Gian Enzo Sperone
Beatrice Reineri, Turin
Saatchi Collection, London
Gagosian Gallery
Thomas Ammann Fine Art AG, Zurich
Acquired by the present owner from the above in 1989
Hamburg, Galerie Gunter Sachs, Andy Warhol, October – November 1972
Zurich, Kunsthaus Zurich, Andy Warhol, May – July 1978, cat. no. 78, p. 115, illustrated
Humlebæk, Louisiana Museum für Moderne Kunst, Andy Warhol, October – November 1978, cat. no. 25
Cologne, Museen der Stadt Köln, Westkunst-Zeitgenössische Kunst seit 39, May – August 1981, cat. no. 711, illustrated
London, Saatchi Gallery, Judd, Warhol, Twombly, Marden, March – November 1985
Hamburg, Kunstverein Hamburg, Andy Warhol. Kunstverein Hamburg, October – December 1987, cat. no. 3, illustrated
Riehen/Basel, Fondation Beyeler, Andy Warhol: Series and Singles, September – December 2000, cat. no. 58, pp. 116-7, illustrated in color
Rainer Crone, Andy Warhol, Milan, 1972, cat. no. 310a
Gian Enzo Sperone, Jim Dine, Roy Lichtenstein, Morris Louis, Michaelangelo Pistoletto, Robert Rauschenberg, Mario Schifano, Frank Stella, Cy Twombly, Andy Warhol, Turin, 1975, illustrated
Rainer Crone, Das Bildnerische Werk Andy Warhols, Berlin, 1976, cat. no. 748
Saatchi Collection, London, Art of Our Time, vol. 2, 1984, cat. no. 73, illustrated
Georg Frei and Neil Printz, The Andy Warhol Catalogue Raisonné: Paintings and Sculptures 1961-1963, Vol. 01, New York, 2002, cat. no. 351, p. 330 (text) and p. 319, illustrated in color
John Richardson
The Eye of the Storm: Warhol and Picasso

I arrived in New York for the first time in 1959 and within a year or two I met Andy. After that I saw a great deal of him. But nobody ever got to know Andy or, for that matter, Picasso: neither ever really opened up to anybody. Andy was often asking me about Picasso.

I see Andy always at the Eye of the Storm. The Eye of the Storm where there is stillness, and all around is disaster. Here was Andy at the center of all this horror: the horror of modern life. Yet Andy was unaffected. He felt this, he sensed this, but he wasn’t one of the victims of it. By virtue of being in the Eye of the Storm he could see it. And he transmitted his feelings into these amazing images.

When I gave the eulogy at Andy’s funeral I stressed the fact that Andy was a Catholic who went to Mass every single
READ MORE
","left: signed twice and dated 63 on the overlap
","silkscreen ink and silver spray paint on canvas, in two parts",267.4 x 417.1 cm,https://sothebys-com.brightspotcdn.com/dims4/default/f7196be/2147483647/strip/true/crop/2000x1291+0+0/resize/212x137!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot-migration.s3.amazonaws.com%2F2a%2Fd3%2F2e%2F85d93af6f17c7d74e055af812b3615477d9326328b854752b7166989fe%2F843n09037-xxxxx.jpg,-,Found,"left: signed twice and dated 63 on the overlap
right: signed and dated 63 on the overlap
silkscreen ink and silver spray paint on canvas, in two parts
overall: 105 x 164 1/8 in. 267.4 x 417.1 cm.
Executed in Summer 1963.",
Pablo Picasso,Garçon à la pipe,05.05.2004,"104,168,000","Paul von Mendelssohn-Bartholdy, Berlin (probably acquired circa 1910)
Countess Else Mendelssohn-Bartholdy Kesselstett (née Lavergne-Paguilhen), Berlin and Switzerland (by inheritance from the above)
Walter Feilchenfeldt, Zürich (acquired from the above)
Mr. and Mrs. John Hay Whitney (acquired from the above on January 13, 1950)
New York, The Museum of Modern Art, New York Private Collections, 1951
New York, Paul Rosenberg & Co., Collector’s Choice, 1953, no. 28
New York, The Museum of Modern Art, Paintings from Private Collections, 1955, no. 107
New York, The Museum of Modern Art; Art Institute of Chicago, Picasso, 75th Anniversary Exhibition, 1957
Philadelphia Museum of Art, Picasso, 1958, no. 18 (titled Boy with Pipe)
London, The Tate Gallery, Picasso, 1960, no. 24 (titled Boy with Pipe)
London, The Tate Gallery, The John Hay Whitney Collection, 1960-61, no. 42
Paris, Galerie Nationale du Grand Palais, Hommage à Pablo Picasso, 1966-67, no. 30 (titled Enfant à la pipe)
New York, The Museum of Modern Art, Pablo Picasso: A Retrospective, 1980
Washington, D.C., National Gallery of Art, The
READ MORE
Jean Cocteau, Picasso, Paris, 1923, illustrated pl. 3
Jacques Lassaigne, Picasso, Paris, 1949, illustrated pl. 16
William S. Lieberman, Picasso, Blue and Rose Periods, New York, 1954, illustrated pl. 31
Denys Sutton, Picasso, Peintures, époques bleue et rose, Paris, 1955, no. 43, illustrated p. 8
Christian Zervos, Pablo Picasso: Oeuvres de 1895 à 1906, vol. 1, Paris, 1957, no. 274, illustrated p. 120 (titled Garçon à la pipe)
John Rewald, Catalogue of the John Hay Whitney Collection, 1960, no. 42
Pierre Daix and Georges Boudaille, Picasso, The Blue and Rose Periods, A Catalogue Raisonné of the Paintings, 1900-1906, Greenwich, Connecticut, 1966, no. XIII.13, illustrated p. 278
Lael Wertenbaker, The World of Picasso, New York, 1967, illustrated p. 50 (titled Boy with a Pipe)
Albert
READ MORE
One of the iconic images of the Blue and Rose periods, Garçon à la pipe probably began as a study from life in Picasso’s immediate surroundings but was dramatically transformed in a moment of sudden inspiration. According to André Salmon: “After a delightful series of metaphysical acrobats, dancers like priestesses of Diana, delightful clowns and ‘wistful Harlequins,’ Picasso had painted, without a model, the purest and simplest image of a young Parisian working boy, beardless and in blue overalls: having indeed, more or less the same appearance as the artist himself during working hours. One night, Picasso abandoned the company of his friends and their intellectual chit-chat. He returned to his studio, took the canvas he had abandoned a month before and crowned the figure of the little apprentice lad with roses. He had made this work a masterpiece thanks to a sublime whim” (André
READ MORE
","Signed Picasso (lower left)
",Oil on canvas,99.7 by 81.3 cm,https://sothebys-com.brightspotcdn.com/dims4/default/9ffad0f/2147483647/strip/true/crop/662x814+0+0/resize/172x212!/quality/90/?url=https%3A%2F%2Fsothebys-com.brightspotcdn.com%2F1a%2F93%2Fff58b1f0491198c5ac6017aec15f%2F47q4l-n07989-7a.jpg,"70,000,000",Found,"Signed Picasso (lower left)
Oil on canvas
39 1/4 by 32 in.
99.7 by 81.3 cm
Painted in 1905.",
Alberto Giacometti,L′homme qui marche I,02.03.2010,"103,689,992","The authenticity of this work has been confirmed by the Giacometti Committee working under the authority of the artist's moral right and will be published in the catalogue raisonné prepared by the Fondation Alberto et Annette Giacometti.
The authenticity of this work has also been confirmed by Mary Lisa Palmer.
Galerie Maeght, Paris (acquired from the artist)
Sidney Janis Gallery, New York (acquired from the above in December 1961)
Mr & Mrs Isidore M. Cohen, New York (acquired in 1962)
Dr Milton Ratner, New York
Sidney Janis Gallery, New York (acquired in 1980)
Dresdner Bank AG, Frankfurt (acquired from the above in 1980)
Acquired from the above by the present owner
New York, Sidney Janis Gallery, Exhibition of Painting & Sculpture by Giacometti and Dubuffet, 1968, no. 13, illustrated in the catalogue (titled Great Walking Figure)
New York, Sidney Janis Gallery, Giacometti, 1976, no. 16, illustrated in the catalogue
New York, Sidney Janis Gallery, Masters in 20th Century Art, 1979
Dresdner Bank, Frankfurt (on public display from circa 1980 until 2009)
Frankfurt, Museum für Moderne Kunst, Szenenwechsel XIV, 1998-99, no. 334, illustrated in colour in the catalogue
Berlin, Kunsthalle Koidl, Kunstsammlung Dresdner Bank, 2008, illustrated in colour in the catalogue
Carlo Huber, Alberto Giacometti, Zurich, 1970, illustration of another cast p. 71
Axel Matthes (ed.), Louis Aragon mit anderen, Wege zu Giacometti, Munich, 1987, no. 11, illustration of another cast p. 53
Herbert & Mercedes Matter, Giacometti, New York, 1987, illustration of another cast p. 150
Tahar Ben Jelloun, Alberto Giacometti, Paris, 1991, illustration of another cast p. 3
Yves Bonnefoy, Alberto Giacometti, biographie d'une œuvre, Paris, 1991, no. 390, illustration of another cast p. 409
Ernst Scheidegger, Traces d'une amitié, Alberto Giacometti, Paris, 1991, illustration of another cast p. 146
Andreas Bee, Zehn Jahre Museum für Moderne Kunst, Frankfurt, 2003, illustrated in colour p. 334
Behind the Mirror: Aimé Maeght and his Artists (exhibition catalogue), Royal Academy of Arts, London, 2008-09,
READ MORE
An undisputed masterpiece of Giacometti's sculpture, L'Homme qui marche I is also one of the most iconic images of Modern art. It represents the pinnacle of Giacometti's experimentation with the human form, combining a monumental, imposing size with a rich rendering of the surface. Capturing a transient moment in the figure's movement, Giacometti created both a humble image of an ordinary man, and a potent symbol of humanity.
  The present work is the first of two versions of L'Homme qui marche, executed in 1960, at the highpoint of Giacometti's mature period. By this time, the image of a standing or walking human figure was established as pivotal to the artist's iconography. Between 1947 and 1950 Giacometti made several sculptures on the subject of the walking man, alone or in a small group positioned on a platform suggestive of a city square (fig. 3).
READ MORE
",-,bronze,183cm,https://sothebys-com.brightspotcdn.com/dims4/default/106a70a/2147483647/strip/true/crop/2000x2000+0+0/resize/212x212!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot-migration.s3.amazonaws.com%2Fe0%2F4b%2Ffe%2Fa9f842b04cc67df4926287e0139ce32500a189ff9f5aee15b7e6488dbe%2Fl10002-8-lr-1.jpg,"12,000,000",Found,"inscribed Alberto Giacometti, numbered 2/6 and with the foundry mark Susse Fondeur Paris
bronze
height: 183cm.
72in.
Executed in 1960 and cast in bronze in a numbered edition of 6 plus 4 artist's proofs. The present work was cast in 1961 and is a life-time cast.",
Alberto Giacometti,Chariot,11.04.2014,"100,965,000","Pierre Matisse Gallery, New York (acquired from the artist)
Mr. & Mrs. Charles Zadok, New York (acquired from the above in 1952)
Galerie Beyeler, Basel
Acquired from the above in 1973
Paris, Musée d’Art moderne, Alberto Giacometti, 1969-70
Basel, Galerie Beyeler, Highlights, 1972, no. 8, illustrated in color in the catalogue
Lionel Abel, Lettre à Pierre Matisse, Alberto Giacometti, New York, 1950,  pp. 3, 12
Christian Zervos, Cahiers d'Art, 26e, Paris, 1951, illustration of another cast p. 79
Jacques Dupin, Alberto Giacometti, Paris, 1962, p. 57
Franz Meyer, Alberto Giacometti: Eine Kunst existenstieller Wirklichkeit,. Frauenfeld/Stuttgart, 1968 p. 104, 173
Carlo Huber, Alberto Giacometti, Zürich, 1970, p. 68
Carlo Huber, Alberto Giacometti, Zürich, 1971, p. 142
Reinhold Hohl, Alberto Giacometti: Sculpture, Painting, Drawing, Stuttgart, 1972, p. 133
Michael Francis Brenson, The Early Work of Alberto Giacometti: (1925- 1935) Ph D. Diss. Johns Hopkins University, Baltimore, 1974, p. 167
Bernard Lamarche-Vadel  Alberto Giacometti, Paris,
READ MORE
Giacometti's extraordinary Chariot is his masterpiece and ranks among the definitive achievements of 20th century art.  With its painted surface and rich, golden patina, the present sculpture is perhaps the most important bronze that the artist created. His biographer James Lord, while discussing what is considered Giacometti’s ""great period"" of the late 1940s and early 1950s, identified Chariot as his finest accomplishment: ""There are many extraordinary sculptures of 1949 and 1950,"" he wrote. ""Among them all, however, there is one, perhaps, more extraordinary than the others by reason of having required him to be extraordinary. It asks the beholder to be extraordinary, too"" (J. Lord, Giacometti, New York, 1985, p. 304). 
Chariot had a profound personal significance for Giacometti, reflecting an epiphany in his
READ MORE
","Inscribed with the signature A. Giacometti, with foundry mark Alexis Rudier Fondeur Paris and numbered  2/6
",Painted bronze on wooden base,144.7 cm,https://sothebys-com.brightspotcdn.com/dims4/default/b6af68b/2147483647/strip/true/crop/1148x2000+0+0/resize/122x212!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot-migration.s3.amazonaws.com%2F1b%2Fa5%2Fdf%2F51d160b4c4f9afa58abfc5226dfe33157f93d04d153ed88ca03f7808fe%2F659n09219-7s6fd-web.jpg,-,Found,"Inscribed with the signature A. Giacometti, with foundry mark Alexis Rudier Fondeur Paris and numbered  2/6
Painted bronze on wooden base
Height: 57 in.
144.7 cm
Conceived in 1950 and cast in 1951-52.",
Pablo Picasso,Dora Maar au chat,05.03.2006,"95,216,000","Maya Widmaier Picasso has kindly confirmed the authenticity of this work.
Pierre Colle, Paris (by 1946)
Mr. and Mrs. Leigh B. Block, Chicago (by 1947)
Berggruen & Cie, Paris (as agent for the Blocks)
Acquired from the above on July 1, 1963
Art Institute of Chicago, 1947 (on summer loan)
Worcester Art Museum, Picasso, His Later Works, 1938-1961, 1962, no. 9 (catalogued as dating from 1944)
Art Institute of Chicago, Picasso in Chicago, 1968, no. 43 (catalogued as dating from 1944)
Sidney and Harriet Janis, Picasso, The Recent Years, 1939-1946, New York, 1946, no. 71, illustrated (catalogued as dating from 1944)
Dora Maar au chat is one of Picasso’s most spectacular depictions of his mistress and artistic companion (see fig. 1).   Picasso's love affair with Maar (1907-1997) was a partnership of intellectual exchange and intense passion that lasted nearly a decade, and Maar’s influence on the artist resulted in some of his most daring portraits of his career.   Among the best of them are the oils completed during the war years, when Picasso's art resonated with the drama and emotional upheaval of the era.  The luminous Dora Maar au chat  was painted in 1941, at the beginning of the Second World War in France and just as the couple's relationship was reaching its fiery climax.   This large canvas is one of the most complete and compositionally dynamic depictions
READ MORE
","Signed and dated Picasso 41. (lower left)
",Oil on canvas,129.5 by 97 cm,https://sothebys-com.brightspotcdn.com/dims4/default/b46b3ac/2147483647/strip/true/crop/608x814+0+0/resize/158x212!/quality/90/?url=https%3A%2F%2Fsothebys-com.brightspotcdn.com%2F71%2F26%2F8c53b5f5474b8fb27f8c8af2ad34%2F4ly4n-n08195-14-a.jpg,"50,000,000",Found,"Signed and dated Picasso 41. (lower left)
Oil on canvas
51 by 38 in.
129.5 by 97 cm",
Gustav Klimt,Portrait of Adele Bloch-Bauer II,11.08.2006,"87,936,000",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Gustav Klimt Portrait of Adele Bloch-Bauer II&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Mark Rothko,"Orange, Red, Yellow",05.08.2012,"86,882,496","Marlborough-Gerson Gallery Inc., New York
Mr. and Mrs. Young M. Smith Jr., Litchfield Plantation, S.C. (acquired from the above in 1969)
Sotheby Parke Bernet, Inc., New York, October 26, 1972, lot 18
John Berggruen Gallery, San Francisco (acquired from the above sale)
Galerie Denise René/Hans Mayer, Düsseldorf
Private Collection, Milan (acquired from the above in 1973)
Harriet Griffin Gallery, New York (acquired from the above in 1981)
Private Collection, United States
Stockholm, Moderna Museet, Önskemuseet (The Museum of our Wishes), December 1963 – February 1964, cat. no. 161, p. 72, illustrated
London, Marlborough New London Gallery, Mark Rothko, February – March 1964, cat. no. 2, illustrated in color
Cleveland, Cleveland Museum of Art, The Art of Collecting Modern Art, February – March 1986, cat. no. 24, illustrated in color
Ian Bennett, A History of American Painting, London, 1973, p. 213, illustrated in color
Dictionnaire de l'art et des artistes, Paris, 1982, p. 514, illustrated in color
Frank Maubert, La peinture moderne, Paris, n.d., p. 130, illustrated in color
Michael Mayne, This Sunrise of Wonder: Letters for the Journey, London, 1995, illustrated in color on the cover
David Anfam, Mark Rothko: the Works on Canvas, Catalogue Raisonné, New Haven and London, 1998, cat. no. 556, p. 427, illustrated in color
Mark Rothko's Orange, Red, Yellow from 1956 is a radiantly beautiful and monumental masterpiece in the artist's oeuvre.   In this work the master abstract painter reduces colors to their essence while transforming them into form, space, and light.  As with many of his paintings from 1950-1956, the present work has a compelling sense of harmony as Rothko's stratified color achieves its highest level of success. Rothko's absolute authority over color, surface, texture and composition was never more commanding than in his paintings from the mid-1950s such as Orange, Red, Yellow. Experimentation in the balance of these elements, and the proportion of weight or suspension given to each field of color, created a majestic series of sensual, enigmatic masterpieces of gripping presence. Orange, Red, Yellow is amongst the most sensational of them
READ MORE
","signed and dated 1956 on the reverse
",oil on canvas,202 x 175 cm,https://sothebys-com.brightspotcdn.com/dims4/default/fe07178/2147483647/strip/true/crop/500x500+0+0/resize/212x212!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot-migration.s3.amazonaws.com%2Fc6%2F4c%2F28%2F59fa5b71fac41f69087283fc636e351464ae6e590e9c1cb5f016306f9a%2Flot.jpg,-,Found,"signed and dated 1956 on the reverse
oil on canvas
79 1/2 x 69 in. 202 x 175 cm.",
Francis Bacon,"Triptych, 1976",05.14.2008,"86,281,000",,,,,,,Not Found,,"https://www.sothebys.com/en/search-results.html?query=Francis Bacon Triptych, 1976&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past"
