Author,Art,Sale date,Price,Size,Style,Estimate,Provenance,Sign,Collection,Technique and performance material,Painted,Image
Francis Bacon,Three Studies of Lucian Freud,11.12.2013,"142,404,992",198 x 147.5 cm,Post-War and Contemporary Evening Sale,,"Left panel:
Galleria Galatea, Turin
Private collection, Paris
Private collection, Japan
Galerie H.Odermatt - Ph.Cazeau, Paris
Private collection, Rome

Center panel:
Galleria Galatea, Turin
Private collection, Paris
Galerie H.Odermatt - Ph.Cazeau, Paris
Private collection, Rome

Right panel:
Galleria Galatea, Turin
Private collection, Rome
Private collection, Rome

","
Three Studies of Lucian Freud
titled and dated '3 studies for portrait Lucian Freud 1969' (on the reverse of the center panel)
","
Private collection, Paris
","oil on canvas, in 3 parts",1969,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02791_0008A_000(francis_bacon_three_studies_of_lucian_freud).jpg
Pablo Picasso,"Nude, Green Leaves and Bust",05.04.2010,"106,482,496",162 x 130 cm,Property from the Collection of Mrs. Sidney F. Brody,,"Paul Rosenberg & Co., New York (acquired from the artist, circa 1936).
Acquired from the above by Mr. and Mrs. Sidney F. Brody, 2 January 1951.
","
signed and dated 'Picasso XXXII.' (upper right) 
",-,oil on canvas ,1932,https://www.christies.com/img/LotImages/2010/NYR/2010_NYR_02410_0006_000(pablo_picasso_nude_green_leaves_and_bust).jpg
Mark Rothko,"Orange, Red, Yellow",05.08.2012,"86,882,496",236.2 x 206.4 cm,Post-War and Contemporary Art Evening Sale,"USD 35,000,000 - USD 45,000,000","Marlborough-Gerson Gallery, Inc., New York
Marloborough Fine Art, Ltd., London
Acquired from the above by the present owner, 1967
","
signed and dated 'MARK ROTHKO 1961' (on the reverse); signed again and with initials 'M. Rothko M.B.' (on the stretcher)
",-,oil on canvas ,1961,https://www.christies.com/img/LotImages/2012/NYR/2012_NYR_02557_0020_000(mark_rothko_orange_red_yellow).jpg
Barnett Newman,Black Fire I,05.13.2014,"84,165,000",289.5 x 213.3 cm,Post-War and Contemporary Evening Sale,,"M. Knoedler & Co., New York
Mr. and Mrs. Leonard Holzer, New York, 1969
Anon. sale; Sotheby Parke Bernet, New York, 24 October 1974, lot 544a
Harold and Hester Diamond, New York
The Mayor Gallery, London
Acquired from the above by the present owner, 1975
","
signed and dated 'Barnett Newman 61' (lower right) 
",-,oil on canvas ,1961,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02847_0034_000(barnett_newman_black_fire_i).jpg
Andy Warhol,Triple Elvis,11.12.2014,"81,925,000",208.3 x 175.3 cm,Post-War & Contemporary Art Evening Sale,,"Bruno Bischofberger, Zurich
Gian Enzo Sperone, Turin 
Private collection, Italy
Thomas Ammann Fine Art, Zurich
Acquired from the above by the present owner, 1977","
signed, titled and dated 'elvis Andy Warhol 63' (on the reverse)
","
Private collection, Italy
",silkscreen ink and silver paint on linen,1963,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02891_0009_000(andy_warhol_triple_elvis_ferus_type).jpg
Francis Bacon,Three Studies for a Portrait of John Edwards,05.13.2014,"80,805,000",198.3 x 148 cm,Post-War and Contemporary Evening Sale,,"Collection of the Artist
Marlborough Gallery, New York
Private collection, France
Anon. sale; Christie's, London, 8 February 2001, lot 13
Private collection, Brazil
Acquired from the above by the present owner
","
signed, titled, inscribed and dated '3 Studies for a Portrait of John Edwards Francis Bacon 1984 left panel' (on the reverse of the left panel); signed, titled, inscribed and dated '3 Studies for a Portrait of John Edwards Francis Bacon 1984 center panel' (on the reverse of the center panel); signed, titled, inscribed and dated '3 Studies for a Portrait of John Edwards Francis Bacon 1984 right panel' (on the reverse of the right panel)
","Collection of the Artist
","oil on canvas, in three parts ",1984,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02847_0020_000(francis_bacon_three_studies_for_a_portrait_of_john_edwards).jpg
Claude Monet,Le bassin aux nymphéas,06.24.2008,"80,549,392",100.4 x 201 cm,Impressionist  and Modern Art  Evening Sale,"GBP 18,000,000 - GBP 24,000,000","Bernheim-Jeune, Paris, by whom acquired from the artist in November 1919.
Bernheim-Jeune, Paris, and Galerie Durand-Ruel, Paris, by January 1921. Galerie Durand-Ruel, Paris (nos. 11874 and D13373), by 1922.
Jean d'Alayer (Mme d'Alayer, née Marie-Louise Durand-Ruel), Paris, by whom acquired from the above.
Sam Salz, Inc., New York.
Mr and Mrs Norton Simon, Los Angeles, circa 1968; their sale, Sotheby's, New York, 5 May 1971, lot 41.
Mrs Elizabeth Clementine Miller Tangeman, Columbus, Indiana, by whom acquired at the above sale.
Acquired from the above by the late owners in August 1993. 
","
signed and dated 'Claude Monet 1919' (lower right) 
",-,oil on canvas ,1919,https://www.christies.com/img/LotImages/2008/CKS/2008_CKS_07599_0016_000().jpg
Andy Warhol,Green Car Crash,05.16.2007,"71,720,000",228.6 x 203.2 cm,Post-War and Contemporary Art Evening Sale,"USD 25,000,000 - USD 35,000,000","Galerie Ileana Sonnabend, Paris
Gian Enzo Sperone Arte Moderna, Turin
Remo Morone, Turin
Anon. sale; Christie's, London, 6 December 1978, lot 229
Galerie Bruno Bischofberger, Zurich
Acquired from the above by the present owner 
",-,-,"synthetic polymer, silkscreen ink and acrylic on linen ",1963,https://www.christies.com/img/LotImages/2007/NYR/2007_NYR_01834_0015_000().jpg
Francis Bacon,Portrait of George Dyer TalkingREPEAT SALE,02.13.2014,"69,625,144",198.2 x 147.3cm,Post-War and Contemporary Art Evening Auction,,"Marlborough Fine Art Ltd., London.
Galerie Maeght, Paris.
Dr. Israel J. Rosefsky, Binghampton, New York.
His sale, Christie's, New York, 5 May 1987, lot 85. 
Galerie Krugier & Cie, Geneva. 
ROC Collection, Switzerland.
Private Collection, Paris.
Anon. sale, Christie’s New York, 15 November 2000, lot 29.
Private Collection, Brazil.
Thomas Ammann Fine Art AG, Zurich.
Acquired from the above by the present owner.

","
Portrait of George Dyer Talking  
titled and dated 'Portrait of George Dyer Talking 1966' (on the reverse)
","
ROC Collection, Switzerland.
",oil on canvas,1966,https://www.christies.com/img/LotImages/2014/CKS/2014_CKS_01510_0010_000(francis_bacon_portrait_of_george_dyer_talking).jpg
Andy Warhol,Four Marlons,11.12.2014,"69,605,000",205.7 x 165.1 cm,Post-War & Contemporary Art Evening Sale,,"Bruno Bischofberger, Zurich
Gian Enzo Sperone, Turin
Thomas Ammann Fine Art, Zurich
Acquired from the above by the present owner, 1978
","
signed and dated 'Andy Warhol 66' (on the overlap)
",-,silkscreen ink on unprimed linen,1966,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02891_0010_000(andy_warhol_four_marlons).jpg
